Stars have less than 44 light years distance , Stars have greater than 44 light years distance
2MASS 0036 , SDSS J000013.54+255418.6
2MASS J02431371âˆ’24 , 2MASS J03185403-3421292
Teegarden's , 2MASS J03264225-2102057
DEN 0255 , 2MASS J03284265+2302051
2MASS J03552337+11 , Te
2MASS J04151954âˆ’09 , 2MASS J04285096-2253227
2MASS J04390101-2353083 , 2MASS J04510093-3402150
2MASS J04455387-3048204 , 2MASS J05012406-0010452
LSR 0602+3910 , 2MASS J05160945-0445499
2MASS J06244595-4521548 , 2MASS J06411840-4322329
UGPS J072227.51-054 , DENIS-P J0652197-253450
2MASSI J0727182+171001 , SDSS J074201.41+205520.5
2MASS J07290002-3954043 , DENIS-P J0751164-253043
DENIS J081730.0-6 , SDSS J083048.80+012831.1
2MASS J08251968+2115521 , 2MASSI J0859254-194926
SDSSp J083008.12+482847.4 , 2MASS J09490860-1545485
2MASSI J0835425-081923 , 2MASSI J1010148-040649
2MASSI J0847287-153237 , 2MASS J10224821+5825453
2MASSI J0937347+2 , 2MASSW J1036530-344138
2MASS 0939 , DENIS-P J1058.7
2MASS J1047538+212423 , Cha 110913-7
DEN 1048 , 2MASS J11544223-3400390
Luhma , 2M 1237
Luhma , Ke
2MASS J11145133âˆ’26 , Ke
2MASSW J1155395-372735 , SDSSp J132629.82-003831.5
2MASSI J1217110-031113 , SDSSp J134646.45-003150.4
SDSSp J125453.90-012247.4 , SDSS J141659.78+500626.4
DENIS-P J142527.97-365023.4 , 2MASS J14482563+1031590
2MASS 1503 , CFBDSIR 145
2MASS 1507 , CFBDSIR 145
2MASSW J1515008+484742 , 2MASSW J1506544+132106
2MASS J15462718-3325111 , 2MASSI J1526140+204341
SDSSp J162414.37+002915.6 , DENIS-P J153941.96-052042.4
LSR J1835 , 2MASSW J1552591+294849
2MASS J22282889-43 , 2MASS J16150413+1340079
WISE 0410 , 2MASS J16262034+3925190
WISE 0458+ , 2MASSW J1632291+190441
WISE 0458+ , LSPM J1658+7027
WISE 1405 , PSO J318
